E_vis_MeV,Counts
3.472708436918592,454
3.492767170796038,455
3.5128259046734844,454
3.532884638550931,452
3.552943372428377,447
3.5730021063058235,441
3.59306084018327,437
3.613119574060716,432
3.6331783079381625,429
3.6532370418156086,426
3.673295775693055,426
3.6933545095705016,427
3.7134132434479477,430
3.733471977325394,435
3.7535307112028407,441
3.7735894450802867,447
3.793648178957733,454
3.8137069128351797,460
3.8337656467126258,466
3.8538243805900723,470
3.8738831144675183,473
3.893941848344965,475
3.9140005822224113,475
3.9340593160998574,473
3.954118049977304,470
3.9741767838547504,466
3.9942355177321964,462
4.014294251609643,457
4.034352985487089,452
4.054411719364536,448
4.0744704532419815,446
4.094529187119428,443
4.1145879209968745,443
4.134646654874321,443
4.1547053887517675,445
4.174764122629214,448
4.19482285650666,453
4.214881590384106,457
4.234940324261553,463
4.254999058138999,469
4.275057792016446,475
4.295116525893891,480
4.315175259771338,485
4.335233993648784,489
4.355292727526231,492
4.375351461403677,494
4.395410195281124,494
4.415468929158569,494
4.435527663036016,492
4.455586396913462,489
4.475645130790909,486
4.495703864668355,481
4.515762598545801,465
4.5358213324232475,460
4.555880066300694,455
4.5759388001781405,450
4.595997534055587,445
4.6160562679330335,441
4.636115001810479,438
4.656173735687926,435
4.676232469565372,432
4.696291203442819,431
4.716349937320265,430
4.736408671197711,430
4.756467405075157,431
4.776526138952604,432
4.79658487283005,433
4.816643606707497,435
4.836702340584943,437
4.856761074462389,439
4.876819808339835,441
4.896878542217282,442
4.916937276094728,443
4.936996009972175,444
4.95705474384962,443
4.977113477727067,443
4.997172211604513,441
5.01723094548196,438
5.037289679359406,435
5.057348413236853,431
5.0774071471142985,427
5.097465880991745,421
5.1175246148691915,416
5.137583348746638,409
5.1576420826240845,403
5.17770081650153,397
5.197759550378977,390
5.217818284256423,384
5.23787701813387,378
5.257935752011316,372
5.277994485888763,366
5.298053219766208,361
5.318111953643655,356
5.338170687521101,351
5.358229421398548,347
5.378288155275994,343
5.39834688915344,339
5.418405623030886,336
5.438464356908333,333
5.458523090785779,330
5.478581824663226,328
5.498640558540672,325
5.518699292418118,323
5.5387580262955645,321
5.558816760173011,318
5.5788754940504575,316
5.598934227927904,314
5.61899296180535,311
5.639051695682796,308
5.659110429560243,305
5.679169163437689,302
5.699227897315136,299
5.719286631192582,295
5.739345365070028,292
5.759404098947474,288
5.779462832824921,284
5.799521566702367,280
5.819580300579814,276
5.839639034457259,272
5.859697768334706,268
5.879756502212152,263
5.899815236089599,259
5.919873969967045,254
5.939932703844492,249
5.959991437721937,244
5.980050171599384,239
6.00010890547683,235
6.020167639354277,230
6.040226373231723,225
6.060285107109169,220
6.0803438409866155,215
6.100402574864062,211
6.1204613087415085,206
6.140520042618955,202
6.1605787764964015,197
6.180637510373847,193
6.200696244251294,189
6.22075497812874,185
6.240813712006187,181
6.260872445883633,177
6.280931179761079,174
6.300989913638525,170
6.321048647515972,167
6.341107381393418,164
6.361166115270865,161
6.381224849148311,158
6.401283583025757,155
6.421342316903203,152
6.44140105078065,149
6.461459784658096,147
6.481518518535543,144
6.5015772524129885,141
6.521635986290435,139
6.5416947201678814,136
6.561753454045328,134
6.5818121879227744,131
6.601870921800221,129
6.621929655677667,126
6.641988389555113,123
6.66204712343256,121
6.682105857310006,118
6.702164591187453,115
6.722223325064898,113
6.742282058942345,110
6.762340792819791,107
6.782399526697238,104
6.802458260574684,101
6.822516994452131,98
6.842575728329576,95
6.862634462207023,92
6.882693196084469,89
6.902751929961916,86
6.922810663839362,83
6.942869397716808,80
6.962928131594254,78
6.982986865471701,75
7.003045599349147,72
7.023104333226594,70
7.04316306710404,67
7.063221800981486,65
7.0832805348589325,63
7.103339268736379,60
7.1233980026138255,58
7.143456736491272,56
7.163515470368718,54
7.183574204246164,53
7.203632938123611,51
7.223691672001057,49
7.243750405878504,47
7.26380913975595,46
7.283867873633396,44
7.303926607510842,43
7.323985341388289,41
7.344044075265735,40
7.364102809143182,38
7.384161543020627,37
7.404220276898074,36
7.42427901077552,34
7.444337744652967,33
7.464396478530413,32
7.48445521240786,30
7.504513946285305,29
7.524572680162752,28
7.544631414040198,27
7.564690147917645,25
7.584748881795091,24
7.604807615672537,23
7.6248663495499835,22
7.64492508342743,21
7.6649838173048765,20
7.685042551182323,19
7.7051012850597695,18
7.725160018937215,17
7.745218752814662,16
7.765277486692108,15
7.785336220569555,14
7.805394954447001,14
7.825453688324447,13
7.845512422201893,12
7.86557115607934,11
7.885629889956786,11
7.905688623834233,10
7.925747357711679,10
7.945806091589125,9
7.965864825466571,8
7.985923559344018,8
8.005982293221464,8
8.02604102709891,7
8.046099760976357,7
8.066158494853804,6
8.08621722873125,6
8.106275962608695,6
8.126334696486142,6
8.146393430363588,5
8.166452164241035,5
8.186510898118481,5
8.206569631995928,5
8.226628365873374,5
8.24668709975082,5
8.266745833628267,5
8.286804567505714,5
8.30686330138316,5
8.326922035260605,5
8.346980769138051,5
8.367039503015498,5
8.387098236892944,5
8.40715697077039,5
8.427215704647837,5
