N,Ec
388.0,3.3924735014088063
393.0,3.412532235286253
399.0,3.432590969163699
407.0,3.4526497030411454
415.0,3.472708436918592
424.0,3.492767170796038
431.0,3.5128259046734844
437.0,3.532884638550931
442.0,3.552943372428377
444.0,3.5730021063058235
444.0,3.59306084018327
442.0,3.613119574060716
438.0,3.6331783079381625
434.0,3.6532370418156086
429.0,3.673295775693055
424.0,3.6933545095705016
420.0,3.7134132434479477
417.0,3.733471977325394
415.0,3.7535307112028407
416.0,3.7735894450802867
418.0,3.793648178957733
422.0,3.8137069128351797
427.0,3.8337656467126258
432.0,3.8538243805900723
438.0,3.8738831144675183
444.0,3.893941848344965
450.0,3.9140005822224113
454.0,3.9340593160998574
458.0,3.954118049977304
460.0,3.9741767838547504
460.0,3.9942355177321964
460.0,4.014294251609643
458.0,4.034352985487089
455.0,4.054411719364536
451.0,4.0744704532419815
447.0,4.094529187119428
444.0,4.1145879209968745
440.0,4.134646654874321
437.0,4.1547053887517675
435.0,4.174764122629214
434.0,4.19482285650666
434.0,4.214881590384106
435.0,4.234940324261553
438.0,4.254999058138999
441.0,4.275057792016446
446.0,4.295116525893891
451.0,4.315175259771338
456.0,4.335233993648784
461.0,4.355292727526231
467.0,4.375351461403677
471.0,4.395410195281124
475.0,4.415468929158569
479.0,4.435527663036016
481.0,4.455586396913462
482.0,4.475645130790909
481.0,4.495703864668355
480.0,4.515762598545801
477.0,4.5358213324232475
474.0,4.555880066300694
469.0,4.5759388001781405
464.0,4.595997534055587
459.0,4.6160562679330335
453.0,4.636115001810479
447.0,4.656173735687926
442.0,4.676232469565372
437.0,4.696291203442819
432.0,4.716349937320265
429.0,4.736408671197711
426.0,4.756467405075157
423.0,4.776526138952604
422.0,4.79658487283005
422.0,4.816643606707497
422.0,4.836702340584943
423.0,4.856761074462389
424.0,4.876819808339835
426.0,4.896878542217282
428.0,4.916937276094728
429.0,4.936996009972175
431.0,4.95705474384962
433.0,4.977113477727067
433.0,4.997172211604513
434.0,5.01723094548196
433.0,5.037289679359406
432.0,5.057348413236853
430.0,5.0774071471142985
428.0,5.097465880991745
424.0,5.1175246148691915
420.0,5.137583348746638
415.0,5.1576420826240845
410.0,5.17770081650153
404.0,5.197759550378977
398.0,5.217818284256423
391.0,5.23787701813387
384.0,5.257935752011316
378.0,5.277994485888763
371.0,5.298053219766208
364.0,5.318111953643655
358.0,5.338170687521101
352.0,5.358229421398548
346.0,5.378288155275994
340.0,5.39834688915344
335.0,5.418405623030886
330.0,5.438464356908333
326.0,5.458523090785779
322.0,5.478581824663226
318.0,5.498640558540672
315.0,5.518699292418118
312.0,5.5387580262955645
309.0,5.558816760173011
306.0,5.5788754940504575
304.0,5.598934227927904
301.0,5.61899296180535
299.0,5.639051695682796
297.0,5.659110429560243
294.0,5.679169163437689
292.0,5.699227897315136
290.0,5.719286631192582
287.0,5.739345365070028
285.0,5.759404098947474
282.0,5.779462832824921
280.0,5.799521566702367
277.0,5.819580300579814
274.0,5.839639034457259
270.0,5.859697768334706
267.0,5.879756502212152
263.0,5.899815236089599
259.0,5.919873969967045
255.0,5.939932703844492
251.0,5.959991437721937
246.0,5.980050171599384
241.0,6.00010890547683
237.0,6.020167639354277
232.0,6.040226373231723
227.0,6.060285107109169
222.0,6.0803438409866155
216.0,6.100402574864062
211.0,6.1204613087415085
206.0,6.140520042618955
201.0,6.1605787764964015
196.0,6.180637510373847
191.0,6.200696244251294
187.0,6.22075497812874
182.0,6.240813712006187
178.0,6.260872445883633
174.0,6.280931179761079
170.0,6.300989913638525
166.0,6.321048647515972
162.0,6.341107381393418
158.0,6.361166115270865
155.0,6.381224849148311
152.0,6.401283583025757
149.0,6.421342316903203
146.0,6.44140105078065
143.0,6.461459784658096
