E_vis_MeV,Counts
7.143456736491272,58
7.163515470368718,56
7.183574204246164,54
7.203632938123611,52
7.223691672001057,50
7.243750405878504,48
7.26380913975595,47
7.283867873633396,45
7.303926607510842,43
7.323985341388289,42
7.344044075265735,40
7.364102809143182,39
7.384161543020627,37
7.404220276898074,36
7.42427901077552,34
7.444337744652967,33
7.464396478530413,31
7.48445521240786,30
7.504513946285305,29
7.524572680162752,27
7.544631414040198,26
7.564690147917645,25
7.584748881795091,24
7.604807615672537,23
7.6248663495499835,21
7.64492508342743,20
7.6649838173048765,19
7.685042551182323,18
7.7051012850597695,17
7.725160018937215,17
7.745218752814662,16
7.765277486692108,15
7.785336220569555,14
7.805394954447001,13
7.825453688324447,13
7.845512422201893,12
7.86557115607934,11
7.885629889956786,11
7.905688623834233,10
7.925747357711679,9
7.945806091589125,9
7.965864825466571,8
7.985923559344018,8
8.005982293221464,7
8.02604102709891,7
8.046099760976357,7
8.066158494853804,6
8.08621722873125,6
8.106275962608695,6
8.126334696486142,6
8.146393430363588,5
8.166452164241035,5
8.186510898118481,5
8.206569631995928,5
8.226628365873374,5
8.24668709975082,5
8.266745833628267,5
8.286804567505714,5
8.30686330138316,5
8.326922035260605,5
8.346980769138051,5
8.367039503015498,5
8.387098236892944,5
8.40715697077039,5
8.427215704647837,5
